Kanji	On	Kun
割	katsu	wa-ru;wari;wa-ru;wa-reru;sa-ku
創	sou	tsuku-ru
劇	geki	–
勤	kin	tsuto-meru
危	ki	aya-ui
卵	ran	tamago
厳	gen;gon	kibi-shii;ogoso-ka;ika-tsui;ikame-shii
収	shuu	osa-meru
后	gou	kisaki
否	hi	ina; iya
吸	kyuu	su-u
呼	ko	yo-bu
善	zen	yo-i
困	kon	koma-ru
垂	sui	ta-reru
城	jou;sei	shiro;ki;gi
域	iki	–
奏	sou	kana-deru
奮	hun	huru-u
姿	shi	sugata
存	son;zon	a-ru;tamo-tsu;to-u;nagara-eru
孝	kou	–
宅	taku	ie
宇	u	–
宗	shuu	sou
宙	chuu	–
宝	hou	takara
宣	sen	notama-u
密	mitsu	–
寸	sun	–
専	sen	moppa-ra
射	sha	i-ru
将	shou	–
尊	son	touto-bu
就	shuu	tsu-ku
尺	shaku	–
届	–	todo-ku
展	ten	–
層	sou	–
己	ko	onore
巻	kan	ma-ku
幕	maku;baku	–
干	kan	ho-su;hi-ru;oka-su;kaka-waru;tate;moto-meru;e
幼	you	osana-i
庁	chou	–
座	za	suwa-ru
延	en	no-basu
律	ritsu	–
従	juu;ju;jou	shitaga-u;shitaga-eru;i
忘	bou	wasu-reru
